sentence,prompt
Boatmen 's deal could spark more mergers .,Boatmen 's is an organization entity .
Boatmen 's deal could spark more mergers .,'s deal could spark is not a named entity .
Boatmen 's deal could spark more mergers .,'s deal is not a named entity .
"Tens of thousands of people have died in the war "","" begun in late 1994 after Moscow sent troops to quell Chechnya 's independence bid .",Moscow is a location entity .
"Tens of thousands of people have died in the war "","" begun in late 1994 after Moscow sent troops to quell Chechnya 's independence bid .",Chechnya is a location entity .
"Tens of thousands of people have died in the war "","" begun in late 1994 after Moscow sent troops to quell Chechnya 's independence bid .",""","" begun in late 1994 after Moscow sent is not a named entity ."
"Tens of thousands of people have died in the war "","" begun in late 1994 after Moscow sent troops to quell Chechnya 's independence bid .",after Moscow is not a named entity .
"Tens of thousands of people have died in the war "","" begun in late 1994 after Moscow sent troops to quell Chechnya 's independence bid .",in late 1994 after Moscow sent is not a named entity .
"Tens of thousands of people have died in the war "","" begun in late 1994 after Moscow sent troops to quell Chechnya 's independence bid .",thousands of is not a named entity .
Reaser said strong consumer confidence coupled with relatively lean inventories were providing manufacturers with a reason to gear up production .,Reaser is a person entity .
Reaser said strong consumer confidence coupled with relatively lean inventories were providing manufacturers with a reason to gear up production .,coupled with relatively lean inventories is not a named entity .
Reaser said strong consumer confidence coupled with relatively lean inventories were providing manufacturers with a reason to gear up production .,confidence coupled with relatively lean is not a named entity .
"The Nasdaq composite index closed 3.53 points lower Friday at ""1,141.50"" .",Nasdaq is an other entity .
"The Nasdaq composite index closed 3.53 points lower Friday at ""1,141.50"" .",. is not a named entity .
"The Nasdaq composite index closed 3.53 points lower Friday at ""1,141.50"" .",index closed is not a named entity .
Their court appearance means they will face trial and possible imprisonment in Britain before their applications for asylum are considered .,Britain is a location entity .
Their court appearance means they will face trial and possible imprisonment in Britain before their applications for asylum are considered .,before their applications is not a named entity .
Their court appearance means they will face trial and possible imprisonment in Britain before their applications for asylum are considered .,before their applications for is not a named entity .
He also got the House of Lords to pass his Trades Disputes Act which gave labour unions more freedom to strike .,House of Lords is an organization entity .
He also got the House of Lords to pass his Trades Disputes Act which gave labour unions more freedom to strike .,Trades Disputes Act is an other entity .
He also got the House of Lords to pass his Trades Disputes Act which gave labour unions more freedom to strike .,more freedom to is not a named entity .
He also got the House of Lords to pass his Trades Disputes Act which gave labour unions more freedom to strike .,strike is not a named entity .
He also got the House of Lords to pass his Trades Disputes Act which gave labour unions more freedom to strike .,of Lords to pass his Trades Disputes is not a named entity .
He also got the House of Lords to pass his Trades Disputes Act which gave labour unions more freedom to strike .,Trades Disputes is not a named entity .
"They said a fire broke out at Shul'ala restaurant in the early hours on Saturday in al-Daih village "","" five km ( three miles ) west of the capital Manama .",Shul'ala is a location entity .
"They said a fire broke out at Shul'ala restaurant in the early hours on Saturday in al-Daih village "","" five km ( three miles ) west of the capital Manama .",al-Daih is a location entity .
"They said a fire broke out at Shul'ala restaurant in the early hours on Saturday in al-Daih village "","" five km ( three miles ) west of the capital Manama .",Manama is a location entity .
"They said a fire broke out at Shul'ala restaurant in the early hours on Saturday in al-Daih village "","" five km ( three miles ) west of the capital Manama .",three miles ) west of the capital Manama is not a named entity .
"They said a fire broke out at Shul'ala restaurant in the early hours on Saturday in al-Daih village "","" five km ( three miles ) west of the capital Manama .",miles ) west is not a named entity .
"They said a fire broke out at Shul'ala restaurant in the early hours on Saturday in al-Daih village "","" five km ( three miles ) west of the capital Manama .","on Saturday in al-Daih village "","" is not a named entity ."
"They said a fire broke out at Shul'ala restaurant in the early hours on Saturday in al-Daih village "","" five km ( three miles ) west of the capital Manama .",""","" five km ( three miles ) is not a named entity ."
"They said a fire broke out at Shul'ala restaurant in the early hours on Saturday in al-Daih village "","" five km ( three miles ) west of the capital Manama .",in al-Daih village is not a named entity .
"They said a fire broke out at Shul'ala restaurant in the early hours on Saturday in al-Daih village "","" five km ( three miles ) west of the capital Manama .",a fire broke out at Shul'ala is not a named entity .
"We have signed a peace treaty with the Israelis but on the ground "","" we see that nothing has changed "","" """""""" said 20-year-old Ali Ahmed from Qalandia refugee camp .",Israelis is an other entity .
"We have signed a peace treaty with the Israelis but on the ground "","" we see that nothing has changed "","" """""""" said 20-year-old Ali Ahmed from Qalandia refugee camp .",Ali Ahmed is a person entity .
"We have signed a peace treaty with the Israelis but on the ground "","" we see that nothing has changed "","" """""""" said 20-year-old Ali Ahmed from Qalandia refugee camp .",Qalandia is a location entity .
"We have signed a peace treaty with the Israelis but on the ground "","" we see that nothing has changed "","" """""""" said 20-year-old Ali Ahmed from Qalandia refugee camp .",ground is not a named entity .
"We have signed a peace treaty with the Israelis but on the ground "","" we see that nothing has changed "","" """""""" said 20-year-old Ali Ahmed from Qalandia refugee camp .",on the is not a named entity .
"We have signed a peace treaty with the Israelis but on the ground "","" we see that nothing has changed "","" """""""" said 20-year-old Ali Ahmed from Qalandia refugee camp .",""","" we see that nothing has changed "","" is not a named entity ."
"We have signed a peace treaty with the Israelis but on the ground "","" we see that nothing has changed "","" """""""" said 20-year-old Ali Ahmed from Qalandia refugee camp .","that nothing has changed "","" is not a named entity ."
"We have signed a peace treaty with the Israelis but on the ground "","" we see that nothing has changed "","" """""""" said 20-year-old Ali Ahmed from Qalandia refugee camp .",refugee camp . is not a named entity .
"We have signed a peace treaty with the Israelis but on the ground "","" we see that nothing has changed "","" """""""" said 20-year-old Ali Ahmed from Qalandia refugee camp .","has changed "","" """""""" said 20-year-old Ali Ahmed is not a named entity ."
Proponents of the plan discount the worries of the U.S. growers and say the plan has enough safeguards built into it to eliminate any significant threat to American producers .,U.S. is a location entity .
Proponents of the plan discount the worries of the U.S. growers and say the plan has enough safeguards built into it to eliminate any significant threat to American producers .,American is an other entity .
Proponents of the plan discount the worries of the U.S. growers and say the plan has enough safeguards built into it to eliminate any significant threat to American producers .,growers and is not a named entity .
Proponents of the plan discount the worries of the U.S. growers and say the plan has enough safeguards built into it to eliminate any significant threat to American producers .,American producers is not a named entity .
Proponents of the plan discount the worries of the U.S. growers and say the plan has enough safeguards built into it to eliminate any significant threat to American producers .,growers and say is not a named entity .
Proponents of the plan discount the worries of the U.S. growers and say the plan has enough safeguards built into it to eliminate any significant threat to American producers .,any significant threat to American is not a named entity .
CHICAGO 1996-08-30,CHICAGO is a location entity .
CHICAGO 1996-08-30,1996-08-30 is not a named entity .
CHICAGO 1996-08-30,CHICAGO 1996-08-30 is not a named entity .
"1986 - Bishop Desmond Tutu was enthroned as Archbishop of Cape Town "","" South Africa .",Desmond Tutu is a person entity .
"1986 - Bishop Desmond Tutu was enthroned as Archbishop of Cape Town "","" South Africa .",Cape Town is a location entity .
"1986 - Bishop Desmond Tutu was enthroned as Archbishop of Cape Town "","" South Africa .",South Africa is a location entity .
"1986 - Bishop Desmond Tutu was enthroned as Archbishop of Cape Town "","" South Africa .",Bishop Desmond Tutu was enthroned as Archbishop is not a named entity .
"1986 - Bishop Desmond Tutu was enthroned as Archbishop of Cape Town "","" South Africa .",Tutu was enthroned is not a named entity .
"1986 - Bishop Desmond Tutu was enthroned as Archbishop of Cape Town "","" South Africa .",""","" South Africa is not a named entity ."
"1986 - Bishop Desmond Tutu was enthroned as Archbishop of Cape Town "","" South Africa .",Bishop Desmond Tutu was is not a named entity .
"1986 - Bishop Desmond Tutu was enthroned as Archbishop of Cape Town "","" South Africa .",Cape is not a named entity .
"1986 - Bishop Desmond Tutu was enthroned as Archbishop of Cape Town "","" South Africa .",- Bishop Desmond Tutu was enthroned is not a named entity .
"London ( The Oval ) : Warwickshire 195 "","" Surrey 429-7 ( C. Lewis 80 not out "","" M. Butcher 70 "","" G. Kersey 63 "","" J. Ratcliffe 63 "","" D. Bicknell 55 ) .",London is a location entity .
"London ( The Oval ) : Warwickshire 195 "","" Surrey 429-7 ( C. Lewis 80 not out "","" M. Butcher 70 "","" G. Kersey 63 "","" J. Ratcliffe 63 "","" D. Bicknell 55 ) .",The Oval is a location entity .
"London ( The Oval ) : Warwickshire 195 "","" Surrey 429-7 ( C. Lewis 80 not out "","" M. Butcher 70 "","" G. Kersey 63 "","" J. Ratcliffe 63 "","" D. Bicknell 55 ) .",Warwickshire is an organization entity .
"London ( The Oval ) : Warwickshire 195 "","" Surrey 429-7 ( C. Lewis 80 not out "","" M. Butcher 70 "","" G. Kersey 63 "","" J. Ratcliffe 63 "","" D. Bicknell 55 ) .",Surrey is an organization entity .
"London ( The Oval ) : Warwickshire 195 "","" Surrey 429-7 ( C. Lewis 80 not out "","" M. Butcher 70 "","" G. Kersey 63 "","" J. Ratcliffe 63 "","" D. Bicknell 55 ) .",C. Lewis is a person entity .
"London ( The Oval ) : Warwickshire 195 "","" Surrey 429-7 ( C. Lewis 80 not out "","" M. Butcher 70 "","" G. Kersey 63 "","" J. Ratcliffe 63 "","" D. Bicknell 55 ) .",M. Butcher is a person entity .
"London ( The Oval ) : Warwickshire 195 "","" Surrey 429-7 ( C. Lewis 80 not out "","" M. Butcher 70 "","" G. Kersey 63 "","" J. Ratcliffe 63 "","" D. Bicknell 55 ) .",G. Kersey is a person entity .
"London ( The Oval ) : Warwickshire 195 "","" Surrey 429-7 ( C. Lewis 80 not out "","" M. Butcher 70 "","" G. Kersey 63 "","" J. Ratcliffe 63 "","" D. Bicknell 55 ) .",J. Ratcliffe is a person entity .
"London ( The Oval ) : Warwickshire 195 "","" Surrey 429-7 ( C. Lewis 80 not out "","" M. Butcher 70 "","" G. Kersey 63 "","" J. Ratcliffe 63 "","" D. Bicknell 55 ) .",D. Bicknell is a person entity .
"London ( The Oval ) : Warwickshire 195 "","" Surrey 429-7 ( C. Lewis 80 not out "","" M. Butcher 70 "","" G. Kersey 63 "","" J. Ratcliffe 63 "","" D. Bicknell 55 ) .",""","" J. Ratcliffe 63 "","" D. Bicknell is not a named entity ."
"London ( The Oval ) : Warwickshire 195 "","" Surrey 429-7 ( C. Lewis 80 not out "","" M. Butcher 70 "","" G. Kersey 63 "","" J. Ratcliffe 63 "","" D. Bicknell 55 ) .","80 not out "","" M. Butcher 70 is not a named entity ."
"London ( The Oval ) : Warwickshire 195 "","" Surrey 429-7 ( C. Lewis 80 not out "","" M. Butcher 70 "","" G. Kersey 63 "","" J. Ratcliffe 63 "","" D. Bicknell 55 ) .","( C. Lewis 80 not out "","" M. is not a named entity ."
"London ( The Oval ) : Warwickshire 195 "","" Surrey 429-7 ( C. Lewis 80 not out "","" M. Butcher 70 "","" G. Kersey 63 "","" J. Ratcliffe 63 "","" D. Bicknell 55 ) .",London ( The Oval is not a named entity .
"London ( The Oval ) : Warwickshire 195 "","" Surrey 429-7 ( C. Lewis 80 not out "","" M. Butcher 70 "","" G. Kersey 63 "","" J. Ratcliffe 63 "","" D. Bicknell 55 ) .",55 ) . is not a named entity .
"London ( The Oval ) : Warwickshire 195 "","" Surrey 429-7 ( C. Lewis 80 not out "","" M. Butcher 70 "","" G. Kersey 63 "","" J. Ratcliffe 63 "","" D. Bicknell 55 ) .",Surrey 429-7 ( C. Lewis 80 is not a named entity .
"London ( The Oval ) : Warwickshire 195 "","" Surrey 429-7 ( C. Lewis 80 not out "","" M. Butcher 70 "","" G. Kersey 63 "","" J. Ratcliffe 63 "","" D. Bicknell 55 ) .","( C. Lewis 80 not out "","" is not a named entity ."
"London ( The Oval ) : Warwickshire 195 "","" Surrey 429-7 ( C. Lewis 80 not out "","" M. Butcher 70 "","" G. Kersey 63 "","" J. Ratcliffe 63 "","" D. Bicknell 55 ) .",out is not a named entity .
"London ( The Oval ) : Warwickshire 195 "","" Surrey 429-7 ( C. Lewis 80 not out "","" M. Butcher 70 "","" G. Kersey 63 "","" J. Ratcliffe 63 "","" D. Bicknell 55 ) .","out "","" M. Butcher 70 is not a named entity ."
"London ( The Oval ) : Warwickshire 195 "","" Surrey 429-7 ( C. Lewis 80 not out "","" M. Butcher 70 "","" G. Kersey 63 "","" J. Ratcliffe 63 "","" D. Bicknell 55 ) .",""","" Surrey is not a named entity ."
"London ( The Oval ) : Warwickshire 195 "","" Surrey 429-7 ( C. Lewis 80 not out "","" M. Butcher 70 "","" G. Kersey 63 "","" J. Ratcliffe 63 "","" D. Bicknell 55 ) .","70 "","" G. Kersey 63 "","" J. Ratcliffe is not a named entity ."
"London ( The Oval ) : Warwickshire 195 "","" Surrey 429-7 ( C. Lewis 80 not out "","" M. Butcher 70 "","" G. Kersey 63 "","" J. Ratcliffe 63 "","" D. Bicknell 55 ) .",London ( The Oval ) : Warwickshire is not a named entity .
"London ( The Oval ) : Warwickshire 195 "","" Surrey 429-7 ( C. Lewis 80 not out "","" M. Butcher 70 "","" G. Kersey 63 "","" J. Ratcliffe 63 "","" D. Bicknell 55 ) .",": Warwickshire 195 "","" Surrey 429-7 is not a named entity ."
