sentence,prompt
"In a briefing at the NRC 's Rockville , Md. , headquarters and in a letter to Sam Rousso , acting of civilian radioactive waste management for the Energy Department , Bernero said study of seismic and volcanic risks needed to be given high priority.",NRC is a/an organization entity .
"In a briefing at the NRC 's Rockville , Md. , headquarters and in a letter to Sam Rousso , acting of civilian radioactive waste management for the Energy Department , Bernero said study of seismic and volcanic risks needed to be given high priority.",Rockville is a/an location entity .
"In a briefing at the NRC 's Rockville , Md. , headquarters and in a letter to Sam Rousso , acting of civilian radioactive waste management for the Energy Department , Bernero said study of seismic and volcanic risks needed to be given high priority.",Md. is a/an location entity .
"In a briefing at the NRC 's Rockville , Md. , headquarters and in a letter to Sam Rousso , acting of civilian radioactive waste management for the Energy Department , Bernero said study of seismic and volcanic risks needed to be given high priority.",Sam Rousso is a/an person entity .
"In a briefing at the NRC 's Rockville , Md. , headquarters and in a letter to Sam Rousso , acting of civilian radioactive waste management for the Energy Department , Bernero said study of seismic and volcanic risks needed to be given high priority.",Energy Department is a/an organization entity .
"In a briefing at the NRC 's Rockville , Md. , headquarters and in a letter to Sam Rousso , acting of civilian radioactive waste management for the Energy Department , Bernero said study of seismic and volcanic risks needed to be given high priority.",Bernero is a/an person entity .
"In a briefing at the NRC 's Rockville , Md. , headquarters and in a letter to Sam Rousso , acting of civilian radioactive waste management for the Energy Department , Bernero said study of seismic and volcanic risks needed to be given high priority.",In a briefing is not a named entity .
"In a briefing at the NRC 's Rockville , Md. , headquarters and in a letter to Sam Rousso , acting of civilian radioactive waste management for the Energy Department , Bernero said study of seismic and volcanic risks needed to be given high priority.","Rousso , acting of civilian radioactive waste management is not a named entity ."
"In a briefing at the NRC 's Rockville , Md. , headquarters and in a letter to Sam Rousso , acting of civilian radioactive waste management for the Energy Department , Bernero said study of seismic and volcanic risks needed to be given high priority.",and in a letter is not a named entity .
"In a briefing at the NRC 's Rockville , Md. , headquarters and in a letter to Sam Rousso , acting of civilian radioactive waste management for the Energy Department , Bernero said study of seismic and volcanic risks needed to be given high priority.","for the Energy Department , Bernero said study is not a named entity ."
"In a briefing at the NRC 's Rockville , Md. , headquarters and in a letter to Sam Rousso , acting of civilian radioactive waste management for the Energy Department , Bernero said study of seismic and volcanic risks needed to be given high priority.",briefing at the is not a named entity .
"In a briefing at the NRC 's Rockville , Md. , headquarters and in a letter to Sam Rousso , acting of civilian radioactive waste management for the Energy Department , Bernero said study of seismic and volcanic risks needed to be given high priority.",seismic and volcanic risks needed to be given is not a named entity .
"In a briefing at the NRC 's Rockville , Md. , headquarters and in a letter to Sam Rousso , acting of civilian radioactive waste management for the Energy Department , Bernero said study of seismic and volcanic risks needed to be given high priority.","Rockville , Md. , headquarters is not a named entity ."
"In a briefing at the NRC 's Rockville , Md. , headquarters and in a letter to Sam Rousso , acting of civilian radioactive waste management for the Energy Department , Bernero said study of seismic and volcanic risks needed to be given high priority.",civilian radioactive is not a named entity .
"In a briefing at the NRC 's Rockville , Md. , headquarters and in a letter to Sam Rousso , acting of civilian radioactive waste management for the Energy Department , Bernero said study of seismic and volcanic risks needed to be given high priority.",civilian radioactive waste management for is not a named entity .
"In a briefing at the NRC 's Rockville , Md. , headquarters and in a letter to Sam Rousso , acting of civilian radioactive waste management for the Energy Department , Bernero said study of seismic and volcanic risks needed to be given high priority.",acting of civilian is not a named entity .
"In a briefing at the NRC 's Rockville , Md. , headquarters and in a letter to Sam Rousso , acting of civilian radioactive waste management for the Energy Department , Bernero said study of seismic and volcanic risks needed to be given high priority.","the Energy Department , is not a named entity ."
"In a briefing at the NRC 's Rockville , Md. , headquarters and in a letter to Sam Rousso , acting of civilian radioactive waste management for the Energy Department , Bernero said study of seismic and volcanic risks needed to be given high priority.",a letter to Sam Rousso is not a named entity .
"Portland , Maine 58 foggy. _Central : Bismarck 76 fair ;",Portland is a/an location entity .
"Portland , Maine 58 foggy. _Central : Bismarck 76 fair ;",Maine is a/an location entity .
"Portland , Maine 58 foggy. _Central : Bismarck 76 fair ;",Bismarck is a/an location entity .
"Portland , Maine 58 foggy. _Central : Bismarck 76 fair ;",fair ; is not a named entity .
"Portland , Maine 58 foggy. _Central : Bismarck 76 fair ;",", Maine 58 foggy. is not a named entity ."
"Portland , Maine 58 foggy. _Central : Bismarck 76 fair ;",: Bismarck 76 fair ; is not a named entity .
"Portland , Maine 58 foggy. _Central : Bismarck 76 fair ;",: is not a named entity .
"Portland , Maine 58 foggy. _Central : Bismarck 76 fair ;",: Bismarck 76 fair is not a named entity .
"Portland , Maine 58 foggy. _Central : Bismarck 76 fair ;","Portland , Maine 58 foggy. _Central : Bismarck is not a named entity ."
"Ray is being held in Tennessee 's Brushy Mountain State Prison on a 99-year sentence for the April 4 , 1968 , slaying of King .",Ray is a/an person entity .
"Ray is being held in Tennessee 's Brushy Mountain State Prison on a 99-year sentence for the April 4 , 1968 , slaying of King .",Tennessee is a/an location entity .
"Ray is being held in Tennessee 's Brushy Mountain State Prison on a 99-year sentence for the April 4 , 1968 , slaying of King .",Brushy Mountain State Prison is a/an organization entity .
"Ray is being held in Tennessee 's Brushy Mountain State Prison on a 99-year sentence for the April 4 , 1968 , slaying of King .",April is a/an other entity .
"Ray is being held in Tennessee 's Brushy Mountain State Prison on a 99-year sentence for the April 4 , 1968 , slaying of King .",King is a/an person entity .
"Ray is being held in Tennessee 's Brushy Mountain State Prison on a 99-year sentence for the April 4 , 1968 , slaying of King .","1968 , is not a named entity ."
"Ray is being held in Tennessee 's Brushy Mountain State Prison on a 99-year sentence for the April 4 , 1968 , slaying of King .",is being held in Tennessee 's Brushy is not a named entity .
"Ray is being held in Tennessee 's Brushy Mountain State Prison on a 99-year sentence for the April 4 , 1968 , slaying of King .",'s is not a named entity .
"Ray is being held in Tennessee 's Brushy Mountain State Prison on a 99-year sentence for the April 4 , 1968 , slaying of King .",sentence for is not a named entity .
"Ray is being held in Tennessee 's Brushy Mountain State Prison on a 99-year sentence for the April 4 , 1968 , slaying of King .",held in Tennessee is not a named entity .
"Ray is being held in Tennessee 's Brushy Mountain State Prison on a 99-year sentence for the April 4 , 1968 , slaying of King .",April 4 is not a named entity .
"Ray is being held in Tennessee 's Brushy Mountain State Prison on a 99-year sentence for the April 4 , 1968 , slaying of King .",99-year sentence is not a named entity .
"Ray is being held in Tennessee 's Brushy Mountain State Prison on a 99-year sentence for the April 4 , 1968 , slaying of King .",the April is not a named entity .
"Ray is being held in Tennessee 's Brushy Mountain State Prison on a 99-year sentence for the April 4 , 1968 , slaying of King .","April 4 , 1968 is not a named entity ."
"Ray is being held in Tennessee 's Brushy Mountain State Prison on a 99-year sentence for the April 4 , 1968 , slaying of King .",being held in Tennessee 's Brushy Mountain is not a named entity .
"The presidential meeting in Cuenca , third most important city in Ecuador , would have been held on 26 May , on occasion of the 25th anniversary of the signing of the Cartagena Agreement that gave birth to the Andean Group .",Cuenca is a/an location entity .
"The presidential meeting in Cuenca , third most important city in Ecuador , would have been held on 26 May , on occasion of the 25th anniversary of the signing of the Cartagena Agreement that gave birth to the Andean Group .",Ecuador is a/an location entity .
"The presidential meeting in Cuenca , third most important city in Ecuador , would have been held on 26 May , on occasion of the 25th anniversary of the signing of the Cartagena Agreement that gave birth to the Andean Group .",26 May is a/an other entity .
"The presidential meeting in Cuenca , third most important city in Ecuador , would have been held on 26 May , on occasion of the 25th anniversary of the signing of the Cartagena Agreement that gave birth to the Andean Group .",Andean Group is a/an organization entity .
"The presidential meeting in Cuenca , third most important city in Ecuador , would have been held on 26 May , on occasion of the 25th anniversary of the signing of the Cartagena Agreement that gave birth to the Andean Group .",of the Cartagena Agreement that gave is not a named entity .
"The presidential meeting in Cuenca , third most important city in Ecuador , would have been held on 26 May , on occasion of the 25th anniversary of the signing of the Cartagena Agreement that gave birth to the Andean Group .",Agreement is not a named entity .
"The presidential meeting in Cuenca , third most important city in Ecuador , would have been held on 26 May , on occasion of the 25th anniversary of the signing of the Cartagena Agreement that gave birth to the Andean Group .",the Cartagena Agreement that is not a named entity .
"The presidential meeting in Cuenca , third most important city in Ecuador , would have been held on 26 May , on occasion of the 25th anniversary of the signing of the Cartagena Agreement that gave birth to the Andean Group .",of the signing of the Cartagena Agreement that is not a named entity .
"The presidential meeting in Cuenca , third most important city in Ecuador , would have been held on 26 May , on occasion of the 25th anniversary of the signing of the Cartagena Agreement that gave birth to the Andean Group .",", would have is not a named entity ."
"The presidential meeting in Cuenca , third most important city in Ecuador , would have been held on 26 May , on occasion of the 25th anniversary of the signing of the Cartagena Agreement that gave birth to the Andean Group .",anniversary of the signing is not a named entity .
"The presidential meeting in Cuenca , third most important city in Ecuador , would have been held on 26 May , on occasion of the 25th anniversary of the signing of the Cartagena Agreement that gave birth to the Andean Group .",25th anniversary of the is not a named entity .
"The presidential meeting in Cuenca , third most important city in Ecuador , would have been held on 26 May , on occasion of the 25th anniversary of the signing of the Cartagena Agreement that gave birth to the Andean Group .",birth to is not a named entity .
PA2105201294 Panama City ACAN in Spanish 1742 GMT 21 May 94,Panama City is a/an location entity .
PA2105201294 Panama City ACAN in Spanish 1742 GMT 21 May 94,ACAN is a/an organization entity .
PA2105201294 Panama City ACAN in Spanish 1742 GMT 21 May 94,1742 GMT is a/an other entity .
PA2105201294 Panama City ACAN in Spanish 1742 GMT 21 May 94,21 May 94 is a/an other entity .
PA2105201294 Panama City ACAN in Spanish 1742 GMT 21 May 94,Panama City ACAN in Spanish 1742 GMT is not a named entity .
PA2105201294 Panama City ACAN in Spanish 1742 GMT 21 May 94,Spanish 1742 GMT 21 May is not a named entity .
PA2105201294 Panama City ACAN in Spanish 1742 GMT 21 May 94,in Spanish 1742 GMT is not a named entity .
PA2105201294 Panama City ACAN in Spanish 1742 GMT 21 May 94,21 May is not a named entity .
PA2105201294 Panama City ACAN in Spanish 1742 GMT 21 May 94,in Spanish is not a named entity .
PA2105201294 Panama City ACAN in Spanish 1742 GMT 21 May 94,PA2105201294 Panama City ACAN in Spanish is not a named entity .
PA2105201294 Panama City ACAN in Spanish 1742 GMT 21 May 94,Spanish 1742 GMT is not a named entity .
PA2105201294 Panama City ACAN in Spanish 1742 GMT 21 May 94,1742 GMT 21 is not a named entity .
"JOHANNESBURG , South Africa ( AP )",JOHANNESBURG is a/an location entity .
"JOHANNESBURG , South Africa ( AP )",South Africa is a/an location entity .
"JOHANNESBURG , South Africa ( AP )",AP is a/an organization entity .
"JOHANNESBURG , South Africa ( AP )",( is not a named entity .
"JOHANNESBURG , South Africa ( AP )",( AP is not a named entity .
"JOHANNESBURG , South Africa ( AP )",", South Africa ( is not a named entity ."
