sentence,prompt
"John Wilkes Booth , who assassinated President Lincoln , was an actor .","TL;DR , John Wilkes Booth is a person entity ."
"John Wilkes Booth , who assassinated President Lincoln , was an actor .","TL;DR , President Lincoln is a person entity ."
"John Wilkes Booth , who assassinated President Lincoln , was an actor .","TL;DR , Lincoln , was an is not a named entity ."
"John Wilkes Booth , who assassinated President Lincoln , was an actor .","TL;DR , assassinated President Lincoln is not a named entity ."
"John Wilkes Booth , who assassinated President Lincoln , was an actor .","TL;DR , Booth , who assassinated President is not a named entity ."
"John Wilkes Booth , who assassinated President Lincoln , was an actor .","TL;DR , assassinated President is not a named entity ."
"The opera company performed at the Palace of Fine Arts , in San Francisco , on June 30 and July 1-2 , said Kevin O 'Brien , a spokesman for the theater.","TL;DR , Palace of Fine Arts is a location entity ."
"The opera company performed at the Palace of Fine Arts , in San Francisco , on June 30 and July 1-2 , said Kevin O 'Brien , a spokesman for the theater.","TL;DR , San Francisco is a location entity ."
"The opera company performed at the Palace of Fine Arts , in San Francisco , on June 30 and July 1-2 , said Kevin O 'Brien , a spokesman for the theater.","TL;DR , June 30 is an other entity ."
"The opera company performed at the Palace of Fine Arts , in San Francisco , on June 30 and July 1-2 , said Kevin O 'Brien , a spokesman for the theater.","TL;DR , July 1-2 , is an other entity ."
"The opera company performed at the Palace of Fine Arts , in San Francisco , on June 30 and July 1-2 , said Kevin O 'Brien , a spokesman for the theater.","TL;DR , Kevin O 'Brien is a person entity ."
"The opera company performed at the Palace of Fine Arts , in San Francisco , on June 30 and July 1-2 , said Kevin O 'Brien , a spokesman for the theater.","TL;DR , said Kevin O is not a named entity ."
"The opera company performed at the Palace of Fine Arts , in San Francisco , on June 30 and July 1-2 , said Kevin O 'Brien , a spokesman for the theater.","TL;DR , said Kevin O 'Brien , a spokesman for is not a named entity ."
"The opera company performed at the Palace of Fine Arts , in San Francisco , on June 30 and July 1-2 , said Kevin O 'Brien , a spokesman for the theater.","TL;DR , San is not a named entity ."
"The opera company performed at the Palace of Fine Arts , in San Francisco , on June 30 and July 1-2 , said Kevin O 'Brien , a spokesman for the theater.","TL;DR , , in San Francisco , on is not a named entity ."
"The opera company performed at the Palace of Fine Arts , in San Francisco , on June 30 and July 1-2 , said Kevin O 'Brien , a spokesman for the theater.","TL;DR , 'Brien , a spokesman for the theater. is not a named entity ."
"The opera company performed at the Palace of Fine Arts , in San Francisco , on June 30 and July 1-2 , said Kevin O 'Brien , a spokesman for the theater.","TL;DR , and July 1-2 , said is not a named entity ."
"The opera company performed at the Palace of Fine Arts , in San Francisco , on June 30 and July 1-2 , said Kevin O 'Brien , a spokesman for the theater.","TL;DR , , on June 30 is not a named entity ."
"The opera company performed at the Palace of Fine Arts , in San Francisco , on June 30 and July 1-2 , said Kevin O 'Brien , a spokesman for the theater.","TL;DR , June 30 and July 1-2 , is not a named entity ."
"The opera company performed at the Palace of Fine Arts , in San Francisco , on June 30 and July 1-2 , said Kevin O 'Brien , a spokesman for the theater.","TL;DR , 'Brien , is not a named entity ."
"The opera company performed at the Palace of Fine Arts , in San Francisco , on June 30 and July 1-2 , said Kevin O 'Brien , a spokesman for the theater.","TL;DR , 1-2 , is not a named entity ."
"In the field of mechanics , Wang Ziqiang at the Institute of Mechanics has made considerable headway in the area of elastoplastic crack mechanics .","TL;DR , Wang Ziqiang is a person entity ."
"In the field of mechanics , Wang Ziqiang at the Institute of Mechanics has made considerable headway in the area of elastoplastic crack mechanics .","TL;DR , Institute of Mechanics is an organization entity ."
"In the field of mechanics , Wang Ziqiang at the Institute of Mechanics has made considerable headway in the area of elastoplastic crack mechanics .","TL;DR , Wang Ziqiang at the Institute of Mechanics has is not a named entity ."
"In the field of mechanics , Wang Ziqiang at the Institute of Mechanics has made considerable headway in the area of elastoplastic crack mechanics .","TL;DR , Ziqiang at is not a named entity ."
