sentence,prompt
"Andrews Lock and Dam , Henry County , Ala. ;","TL;DR , Andrews Lock and Dam is a location entity ."
"Andrews Lock and Dam , Henry County , Ala. ;","TL;DR , Henry County is a location entity ."
"Andrews Lock and Dam , Henry County , Ala. ;","TL;DR , Ala. is a location entity ."
"Andrews Lock and Dam , Henry County , Ala. ;","TL;DR , Ala. ; is not a named entity ."
"Andrews Lock and Dam , Henry County , Ala. ;","TL;DR , Lock and Dam , Henry County is not a named entity ."
"Andrews Lock and Dam , Henry County , Ala. ;","TL;DR , and is not a named entity ."
"Andrews Lock and Dam , Henry County , Ala. ;","TL;DR , County , is not a named entity ."
"Andrews Lock and Dam , Henry County , Ala. ;","TL;DR , Lock and Dam is not a named entity ."
"Andrews Lock and Dam , Henry County , Ala. ;","TL;DR , Dam , is not a named entity ."
"Ten years ago : Former President Gerald R. Ford , a member of the Warren Commission that investigated President John F. Kennedy 's assassination , told a House committee he stood by the commission 's basic finding that assassin Lee Harvey Oswald had acted alone .","TL;DR , President Gerald R. Ford is a person entity ."
"Ten years ago : Former President Gerald R. Ford , a member of the Warren Commission that investigated President John F. Kennedy 's assassination , told a House committee he stood by the commission 's basic finding that assassin Lee Harvey Oswald had acted alone .","TL;DR , Warren Commission is an organization entity ."
"Ten years ago : Former President Gerald R. Ford , a member of the Warren Commission that investigated President John F. Kennedy 's assassination , told a House committee he stood by the commission 's basic finding that assassin Lee Harvey Oswald had acted alone .","TL;DR , President John F. Kennedy is a person entity ."
"Ten years ago : Former President Gerald R. Ford , a member of the Warren Commission that investigated President John F. Kennedy 's assassination , told a House committee he stood by the commission 's basic finding that assassin Lee Harvey Oswald had acted alone .","TL;DR , House is an organization entity ."
"Ten years ago : Former President Gerald R. Ford , a member of the Warren Commission that investigated President John F. Kennedy 's assassination , told a House committee he stood by the commission 's basic finding that assassin Lee Harvey Oswald had acted alone .","TL;DR , Lee Harvey Oswald is a person entity ."
"Ten years ago : Former President Gerald R. Ford , a member of the Warren Commission that investigated President John F. Kennedy 's assassination , told a House committee he stood by the commission 's basic finding that assassin Lee Harvey Oswald had acted alone .","TL;DR , , told a House committee is not a named entity ."
